,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
65,INFN-ROMA3,INFN-ROMA3,INFN-ROMA3_DATADISK,IT,3,10.0,8.0,0,2000,09-28-2021,177,110,12,1.48,134.0,4.0,0.971,3.69,2.36,2.86,0.5,-2.86,0.0,4.99,1.89,0.1,0.0,2.02,6
66,JINR,JINR-LCG2,JINR-LCG2_DATADISK,RU,2,12.06,8.0,0,2000,09-28-2021,540,156,195,2.61,1425.0,34.0,0.9767,50.34,55.26,147.26,92.0,-262.35,0.0,920.0,724.96,-241.87,0.0,1014.62,3
67,MPPMU,MPPMU,MPPMU_DATADISK,DE,2,11.25,8.0,0,2000,09-28-2021,502,228,76,2.11,1767.0,361.0,0.8304,9.31,102.53,327.69,225.16,354.45,185.0,2400.0,224.11,16.37,148.38,1907.56,4
68,NET2,BU_ATLAS_Tier2,NESE_DATADISK,US,2,10.72,8.0,200,3000,09-28-2021,2329,1166,364,1.98,8961.0,1416.0,0.8635,82.88,143.59,443.59,300.0,215.13,0.0,4418.38,1089.48,19.14,0.0,3955.64,5
69,NET2,BU_ATLAS_Tier2,NET2_DATADISK,US,2,10.72,8.0,200,3000,09-28-2021,2329,1166,364,1.98,8961.0,1416.0,0.8635,6.68,-66.01,233.99,300.0,752.24,0.0,4050.0,541.61,92.15,0.0,3723.86,3
70,OU_OSCER_ATLAS,OU_OSCER_ATLAS,OU_OSCER_ATLAS_DATADISK,US,2,11.73,8.0,0,2000,09-28-2021,352,548,34,0.63,883.0,3.0,0.9966,5.59,148.03,198.03,50.0,-184.06,0.0,500.0,180.62,5.41,0.0,296.56,5
71,OU_OSCER_ATLAS_OPP,OU_OSCER_ATLAS,OU_OSCER_ATLAS_DATADISK,US,2,11.73,,0,2000,09-28-2021,38,5,0,2.6,273.0,11.0,0.9613,5.59,148.03,198.03,50.0,-184.06,0.0,500.0,180.62,5.41,0.0,296.56,5
72,RAL,RAL-LCG2,RAL-LCG2-ECHO_DATADISK,UK,1,11.7,8.0,0,3000,09-28-2021,6190,2889,279,2.14,18747.0,958.0,0.9514,22.79,-28.88,271.12,300.0,2284.22,0.0,15340.0,3580.66,0.0,0.0,15068.88,3
73,RO-16-UAIC,RO-16-UAIC,RO-07-NIPNE_DATADISK,FR,2,9.8,8.0,0,5000,09-28-2021,374,117,70,2.95,563.0,22.0,0.9624,86.48,19.61,272.5,252.89,-761.21,0.0,2528.88,1462.64,37.62,0.0,2218.76,4
74,ROMANIA07_HTCondor,RO-07-NIPNE,RO-07-NIPNE_DATADISK,FR,2,10.5,8.0,0,2000,09-28-2021,2234,402,317,5.42,2390.0,45.0,0.9815,86.48,19.61,272.5,252.89,-761.21,0.0,2528.88,1462.64,37.62,0.0,2218.76,4
75,RRC-KI-T1,RRC-KI-T1,RRC-KI-T1_DATADISK,RU,1,15.5,8.0,0,2000,09-28-2021,1077,1239,164,0.86,2957.0,208.0,0.9343,28.17,123.96,423.96,300.0,982.41,0.0,4563.13,415.2,3.68,0.0,4135.49,3
76,SAMPA,SAMPA,PIC_DATADISK,ES,2,13.6,8.0,0,2000,09-28-2021,522,890,415,0.58,494.0,150.0,0.7671,10.52,22.42,322.42,300.0,655.3,0.0,3170.0,245.9,44.38,0.0,2803.2,3
77,pic,pic,PIC_DATADISK,ES,1,13.6,8.0,0,2000,09-28-2021,1844,984,142,1.86,3833.0,740.0,0.8382,10.52,22.42,322.42,300.0,655.3,0.0,3170.0,245.9,44.38,0.0,2803.2,3
78,SAMPA,SAMPA,SAMPA_DATADISK,ES,2,13.6,8.0,0,2000,09-28-2021,522,890,415,0.58,494.0,150.0,0.7671,22.99,88.99,118.99,30.0,-56.4,0.0,300.0,57.37,0.04,0.0,180.97,10
79,SLAC,WT2,SLACXRD_DATADISK,US,3,20.05,4.0,2,2000,09-28-2021,336,276,57,1.18,975.0,24.0,0.976,3.38,17.68,42.68,25.0,-121.99,0.0,250.0,153.22,26.09,0.0,181.23,3
80,SLAC_ES,WT2,SLACXRD_DATADISK,US,3,20.05,4.0,2,2000,09-28-2021,1,0,0,0.0,22.0,,0.0,3.38,17.68,42.68,25.0,-121.99,0.0,250.0,153.22,26.09,0.0,181.23,3
81,TOKYO,TOKYO-LCG2,TOKYO-LCG2_DATADISK,FR,2,18.27,8.0,0,4000,09-28-2021,4041,1044,1309,0.0,11372.0,314.0,0.9731,19.95,55.31,355.31,300.0,895.22,271.0,6900.0,1510.03,23.37,138.66,6382.65,3
