,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,free_gb,datetime
149,Taiwan-LCG2_K8S_UCORE,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,12.72,8.0,0,2000,2433188.47,09-28-2021
150,UAM,UAM-LCG2,UAM-LCG2_DATADISK,ES,2,12.7,8.0,0,2000,143702.8,09-28-2021
151,UAM_MareNostrum4,UAM-LCG2,UAM-LCG2_DATADISK,ES,2,16.75,48.0,0,2000,143702.8,09-28-2021
152,UIO_CLOUD,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,7.0,0,2000,277802.69,09-28-2021
153,UIO_CLOUD_LOPRI,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,8.0,0,2000,277802.69,09-28-2021
154,UKI-LT2-Brunel_SL7_UCORE,UKI-LT2-Brunel,UKI-LT2-BRUNEL_DATADISK,UK,3,11.95,8.0,0,3000,10782.33,09-28-2021
155,UKI-LT2-IC-HEP_SL7_UCORE,UKI-LT2-IC-HEP,UKI-LT2-QMUL_DATADISK,UK,3,10.42,8.0,0,3000,282702.02,09-28-2021
156,UKI-LT2-QMUL,UKI-LT2-QMUL,UKI-LT2-QMUL_DATADISK,UK,2,15.588,8.0,0,2000,282702.02,09-28-2021
157,UKI-LT2-RHUL,UKI-LT2-RHUL,UKI-LT2-RHUL_DATADISK,UK,2,10.75,8.0,0,2000,81266.4,09-28-2021
158,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP_DATADISK,UK,2,15.2,8.0,0,6000,999473.23,09-28-2021
159,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP_DATADISK,UK,2,10.226,8.0,0,3000,72103.23,09-28-2021
160,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP_DATADISK,UK,2,11.2,8.0,0,6000,282308.79,09-28-2021
161,UKI-NORTHGRID-SHEF-HEP,UKI-NORTHGRID-SHEF-HEP,RAL-LCG2-ECHO_DATADISK,UK,2,12.2,8.0,0,3000,14286488.29,09-28-2021
162,UKI-SCOTGRID-DURHAM_SL7_UCORE,UKI-SCOTGRID-DURHAM,UKI-SCOTGRID-DURHAM_DATADISK,UK,3,13.4,8.0,0,2000,26977.11,09-28-2021
163,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF_DATADISK,UK,2,17.0,8.0,0,3000,76210.45,09-28-2021
164,UKI-SCOTGRID-ECDF_CLOUD,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF_DATADISK,UK,2,17.0,8.0,0,3000,76210.45,09-28-2021
165,UKI-SCOTGRID-GLASGOW_CEPH,UKI-SCOTGRID-GLASGOW,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UK,2,8.74,8.0,0,5000,1862645.15,09-28-2021
166,UKI-SOUTHGRID-BHAM-HEP_MCOREVAC,UKI-SOUTHGRID-BHAM-HEP,UKI-NORTHGRID-MAN-HEP_DATADISK,UK,2,10.73,8.0,0,3000,282308.79,09-28-2021
167,UKI-SOUTHGRID-OX-HEP,UKI-SOUTHGRID-OX-HEP,RAL-LCG2-ECHO_DATADISK,UK,2,10.764,8.0,0,3000,14286488.29,09-28-2021
168,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP_DATADISK,UK,2,10.0,8.0,0,3000,359052.5,09-28-2021
169,UKI-SOUTHGRID-SUSX_UCORE,UKI-SOUTHGRID-SUSX,UKI-LT2-QMUL_DATADISK,UK,3,9.829,8.0,0,6000,282702.02,09-28-2021
170,UNI-FREIBURG,UNI-FREIBURG,UNI-FREIBURG_DATADISK,DE,2,8.99,8.0,0,2000,209010.49,09-28-2021
171,UNI-FREIBURG_MCORE,UNI-FREIBURG,UNI-FREIBURG_DATADISK,DE,2,8.99,8.0,0,2000,209010.49,09-28-2021
172,UNIBE-LHEP,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,11.97,8.0,0,2000,147166.11,09-28-2021
173,UNIBE-LHEP-UBELIX,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,19.7,8.0,0,2000,147166.11,09-28-2021
174,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,19.2,8.0,0,2000,147166.11,09-28-2021
175,UNIGE-BAOBAB,UNIBE-LHEP,UNIBE-LHEP_DATADISK,ND,2,15.5,8.0,0,2000,147166.11,09-28-2021
176,UTA_SWT2_UCORE,UTA_SWT2,UTA_SWT2_DATADISK,US,2,9.17,8.0,120,2000,230181.2,09-28-2021
177,UTA_SWT2_UCORE_RET,UTA_SWT2,SWT2_CPB_DATADISK,US,2,9.17,8.0,120,2000,277760.94,09-28-2021
178,Vega,SiGNET,NDGF-T1_DATADISK,ND,2,14.75,16.0,0,2000,277802.69,09-28-2021
179,Vega_MCORE,SiGNET,NDGF-T1_DATADISK,ND,2,14.75,64.0,0,2000,277802.69,09-28-2021
180,Vega_largemem,SiGNET,NDGF-T1_DATADISK,ND,2,14.75,16.0,0,2000,277802.69,09-28-2021
181,WEIZMANN,WEIZMANN-LCG2,TECHNION-HEP_DATADISK,NL,2,11.75,8.0,0,2000,766556.04,09-28-2021
182,ZA-WITS-CORE,ZA-WITS-CORE,ZA-WITS-CORE_DATADISK,NL,3,10.0,1.0,0,2000,33742.63,09-28-2021
183,ifae,ifae,IFAE_DATADISK,ES,2,13.6,8.0,0,2000,70742.91,09-28-2021
184,pic,pic,PIC_DATADISK,ES,1,13.6,8.0,0,2000,300788.04,09-28-2021
185,pic_MareNostrum4,pic,PIC_DATADISK,ES,1,16.75,48.0,0,2000,300788.04,09-28-2021
186,praguelcg2,praguelcg2,PRAGUELCG2_DATADISK,DE,2,10.56,8.0,0,2000,182296.99,09-28-2021
187,praguelcg2_Barbora_MCORE,praguelcg2,PRAGUELCG2_DATADISK,DE,2,24.5,36.0,0,2000,182296.99,09-28-2021
188,praguelcg2_Karolina_MCORE,praguelcg2,PRAGUELCG2_DATADISK,DE,2,24.5,128.0,0,2000,182296.99,09-28-2021
189,praguelcg2_Salomon_MCORE,praguelcg2,PRAGUELCG2_DATADISK,DE,2,18.66,24.0,0,2000,182296.99,09-28-2021
190,wuppertal,wuppertalprod,WUPPERTALPROD_DATADISK,DE,2,9.8,8.0,0,2000,197238.05,09-28-2021
