"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
CERN-PROD-RUCIOTEST_DATADISK,DESY-HH_DATADISK,CERN-PROD,DESY-HH,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,DESY-ZN_DATADISK,CERN-PROD,DESY-ZN,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,FZK-LCG2_DATADISK,CERN-PROD,FZK-LCG2,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,IFIC-LCG2_DATADISK,CERN-PROD,IFIC-LCG2,CERN,ES,2
CERN-PROD-RUCIOTEST_DATADISK,IN2P3-LAPP_DATADISK,CERN-PROD,IN2P3-LAPP,CERN,FR,2
CERN-PROD-RUCIOTEST_DATADISK,INFN-ROMA1_DATADISK,CERN-PROD,INFN-ROMA1,CERN,IT,2
CERN-PROD-RUCIOTEST_DATADISK,INFN-T1_DATADISK,CERN-PROD,INFN-T1,CERN,IT,2
CERN-PROD-RUCIOTEST_DATADISK,MPPMU_DATADISK,CERN-PROD,MPPMU,CERN,DE,2
CERN-PROD-RUCIOTEST_DATADISK,MWT2_DATADISK,CERN-PROD,MWT2,CERN,US,2
BNL-OSG2_DATADISK,IFIC-LCG2_DATADISK,BNL-ATLAS,IFIC-LCG2,US,ES,2
BNL-OSG2_DATADISK,IN2P3-CPPM_DATADISK,BNL-ATLAS,IN2P3-CPPM,US,FR,2
BNL-OSG2_DATADISK,MWT2_DATADISK,BNL-ATLAS,MWT2,US,US,2
BNL-OSG2_DATADISK,NDGF-T1_DATADISK,BNL-ATLAS,NDGF-T1,US,ND,2
BNL-OSG2_DATADISK,NET2_DATADISK,BNL-ATLAS,BU_ATLAS_Tier2,US,US,2
BNL-OSG2_DATADISK,SWT2_CPB_DATADISK,BNL-ATLAS,SWT2_CPB,US,US,2
BNL-OSG2_DATADISK,TRIUMF-LCG2_DATADISK,BNL-ATLAS,TRIUMF-LCG2,US,CA,2
BNL-OSG2_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,BNL-ATLAS,UKI-NORTHGRID-MAN-HEP,US,UK,2
CERN-PROD_DATADISK,INFN-T1_DATADISK,CERN-PROD,INFN-T1,CERN,IT,2
CERN-PROD_DATADISK,LRZ-LMU_DATADISK,CERN-PROD,LRZ-LMU,CERN,DE,2
CERN-PROD_DATADISK,MWT2_DATADISK,CERN-PROD,MWT2,CERN,US,2
CERN-PROD_DATADISK,NIKHEF-ELPROD_DATADISK,CERN-PROD,,CERN,,2
CERN-PROD_DATADISK,PIC_DATADISK,CERN-PROD,pic,CERN,ES,2
CERN-PROD_DATADISK,PRAGUELCG2_DATADISK,CERN-PROD,praguelcg2,CERN,DE,2
CERN-PROD_DATADISK,RO-07-NIPNE_DATADISK,CERN-PROD,RO-07-NIPNE,CERN,FR,2
CERN-PROD_DATADISK,RRC-KI-T1_DATADISK,CERN-PROD,RRC-KI-T1,CERN,RU,2
