,datetime,queue,running,queued,transferring,queue_occupancy,queue_efficiency,site,cloud,rse
78,2021-09-19,UKI-NORTHGRID-MAN-HEP,2108,3699,547,0.5699,0.9227,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK
79,2021-09-19,IN2P3-LAPP,3508,6166,451,0.5689,0.9395,IN2P3-LAPP,FR,IN2P3-LAPP_DATADISK
80,2021-09-19,CERN-T0_VHIMEM,9,16,7,0.5625,0.7411,CERN-PROD,CERN,CERN-PROD_DATADISK
81,2021-09-19,CERN-AZURE,216,388,0,0.5567,0.9481,CERN-PROD,CERN,CERN-PROD_DATADISK
82,2021-09-19,CA-SFU-T2,742,1340,84,0.5537,0.9319,CA-SFU-T2,CA,CA-SFU-T2_DATADISK
83,2021-09-19,DESY-ZN,3931,7217,377,0.5447,0.9954,DESY-ZN,DE,DESY-ZN_DATADISK
84,2021-09-19,IL-TAU,596,1098,174,0.5428,0.7395,IL-TAU-HEP,NL,TECHNION-HEP_DATADISK
85,2021-09-19,JINR,797,1476,114,0.54,0.9785,JINR-LCG2,RU,JINR-LCG2_DATADISK
86,2021-09-19,CSCS-LCG2,1685,3135,76,0.5375,0.973,CSCS-LCG2,DE,CSCS-LCG2_DATADISK
87,2021-09-19,UKI-SOUTHGRID-RALPP,702,1307,727,0.5371,0.8824,UKI-SOUTHGRID-RALPP,UK,UKI-SOUTHGRID-RALPP_DATADISK
88,2021-09-19,IHEP,1197,2242,70,0.5339,0.9088,RU-Protvino-IHEP,RU,RU-PROTVINO-IHEP_DATADISK
89,2021-09-19,RAL,5260,9854,212,0.5338,0.9456,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK
90,2021-09-19,Taiwan-LCG2,1780,3379,164,0.5268,0.9389,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK
91,2021-09-19,IN2P3-LPSC,1168,2219,99,0.5264,0.9971,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK
92,2021-09-19,CERN,5018,9620,787,0.5216,0.9205,CERN-PROD,CERN,CERN-PROD_DATADISK
93,2021-09-19,INFN-NAPOLI-ATLAS,2146,4115,127,0.5215,0.9722,INFN-NAPOLI-ATLAS,IT,INFN-NAPOLI-ATLAS_DATADISK
94,2021-09-19,UKI-LT2-RHUL,3280,6346,143,0.5169,0.9634,UKI-LT2-RHUL,UK,UKI-LT2-RHUL_DATADISK
95,2021-09-19,UKI-NORTHGRID-LANCS-HEP,4204,8156,1348,0.5154,0.9853,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK
96,2021-09-19,CERN-P1,5965,11981,52,0.4979,0.6393,CERN-PROD,CERN,CERN-PROD_DATADISK
97,2021-09-19,FZK-LCG2,4682,9720,441,0.4817,0.8596,FZK-LCG2,DE,FZK-LCG2_DATADISK
98,2021-09-19,IEPSAS-Kosice,143,302,37,0.4735,0.9737,IEPSAS-Kosice,DE,IEPSAS-KOSICE_DATADISK
99,2021-09-19,RO-16-UAIC,374,803,48,0.4658,0.9627,RO-16-UAIC,FR,RO-07-NIPNE_DATADISK
100,2021-09-19,Taiwan-LCG2_K8S_UCORE,13,28,3,0.4643,0.9765,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK
