,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,queue_occupancy_rate,site,cloud,tier_level,rse
130,2021-09-19,SAMPA,588.0,5.0,272.0,809.0,,331.0,,77.0,0.0,SAMPA,ES,2,SAMPA_DATADISK
131,2021-09-19,SiGNET,5305.0,,,,1.0,625.0,1.0,,0.0,SiGNET,ND,2,NDGF-T1_DATADISK
132,2021-09-19,SiGNET-NSC,,,,,800.0,48.0,,,0.0,SiGNET,ND,2,NDGF-T1_DATADISK
133,2021-09-19,TACC-FRONTERA-UCORE,,,,,4147.0,,,,0.0,TACC-FRONTERA,US,3,BNLHPC_DATADISK
134,2021-09-19,TECHNION,1073.0,,661.0,1553.0,2.0,227.0,,110.0,0.0,TECHNION-HEP,NL,2,TECHNION-HEP_DATADISK
135,2021-09-19,TOKYO_HPC,8.0,,,,49.0,44.0,,,0.0,TOKYO_HPC_SL7,FR,2,TOKYO-LCG2_DATADISK
136,2021-09-19,TR-10-ULAKBIM_UCORE,173.0,,7.0,81.0,196.0,68.0,,,0.0,TR-10-ULAKBIM,NL,2,TR-10-ULAKBIM_DATADISK
137,2021-09-19,TRIUMF_SIM,3534.0,,,219.0,313.0,685.0,2.0,,0.0,TRIUMF-SIM,CA,1,TRIUMF-LCG2_DATADISK
138,2021-09-19,Taiwan-LCG2,1645.0,,50.0,608.0,4.0,664.0,,,0.0,Taiwan-LCG2,TW,1,TAIWAN-LCG2_DATADISK
139,2021-09-19,Taiwan-LCG2-HPC2_Unified,276.0,,54.0,60.0,1.0,140.0,,,0.0,Taiwan-LCG2-HPC,TW,1,TAIWAN-LCG2_DATADISK
140,2021-09-19,Taiwan-LCG2-HPC_Unified,373.0,,36.0,290.0,,171.0,,,0.0,Taiwan-LCG2-HPC,TW,1,TAIWAN-LCG2_DATADISK
141,2021-09-19,Taiwan-LCG2_K8S_UCORE,12.0,,,2.0,,3.0,,,0.0,Taiwan-LCG2,TW,1,TAIWAN-LCG2_DATADISK
142,2021-09-19,UAM,51.0,,4.0,1051.0,17.0,31.0,,,0.0,UAM-LCG2,ES,2,UAM-LCG2_DATADISK
143,2021-09-19,UAM_MareNostrum4,75.0,,,,165.0,,,,0.0,UAM-LCG2,ES,2,UAM-LCG2_DATADISK
144,2021-09-19,UIO_CLOUD_LOPRI,,,,,43.0,,,,0.0,UIO_CLOUD,ND,1,NDGF-T1_DATADISK
145,2021-09-19,UKI-LT2-Brunel_SL7_UCORE,215.0,,,4.0,,183.0,,,0.0,UKI-LT2-Brunel_SL7,UK,3,UKI-LT2-BRUNEL_DATADISK
146,2021-09-19,UKI-LT2-IC-HEP_SL7_UCORE,862.0,,6.0,952.0,,185.0,,,0.0,UKI-LT2-IC-HEP_SL7,UK,3,UKI-LT2-QMUL_DATADISK
147,2021-09-19,UKI-NORTHGRID-LIV-HEP,935.0,,4.0,202.0,1.0,669.0,,,0.0,UKI-NORTHGRID-LIV-HEP_SL7,UK,2,UKI-NORTHGRID-LIV-HEP_DATADISK
148,2021-09-19,UKI-NORTHGRID-SHEF-HEP,1.0,,76.0,70.0,1.0,10.0,,,0.0,UKI-NORTHGRID-SHEF-HEP_SL7,UK,2,RAL-LCG2-ECHO_DATADISK
149,2021-09-19,UKI-SCOTGRID-DURHAM_SL7_UCORE,770.0,,2.0,2064.0,,428.0,,,0.0,UKI-SCOTGRID-DURHAM_SL7,UK,3,UKI-SCOTGRID-DURHAM_DATADISK
150,2021-09-19,UKI-SCOTGRID-ECDF_CLOUD,47.0,,,161.0,2.0,71.0,,,0.0,UKI-SCOTGRID-ECDF_SL7,UK,2,UKI-SCOTGRID-ECDF_DATADISK
151,2021-09-19,UKI-SOUTHGRID-BHAM-HEP_MCOREVAC,54.0,,402.0,472.0,,37.0,,,0.0,UKI-SOUTHGRID-BHAM-HEP,UK,2,UKI-NORTHGRID-MAN-HEP_DATADISK
152,2021-09-19,UKI-SOUTHGRID-OX-HEP,15.0,,152.0,481.0,,508.0,,,0.0,UKI-SOUTHGRID-OX-HEP_SL7,UK,2,RAL-LCG2-ECHO_DATADISK
153,2021-09-19,UKI-SOUTHGRID-RALPP,1879.0,,131.0,518.0,192.0,356.0,,296.0,0.0,UKI-SOUTHGRID-RALPP_SL7,UK,2,UKI-SOUTHGRID-RALPP_DATADISK
154,2021-09-19,UKI-SOUTHGRID-SUSX_UCORE,461.0,,5.0,357.0,,13.0,,,0.0,UKI-SOUTHGRID-SUSX,UK,3,UKI-LT2-QMUL_DATADISK
155,2021-09-19,UNI-FREIBURG_MCORE,10.0,,,41.0,,13.0,,,0.0,UNI-FREIBURG,DE,2,UNI-FREIBURG_DATADISK
156,2021-09-19,UNIBE-LHEP-UBELIX_MCORE_LOPRI,28.0,,,1.0,,,,,0.0,UNIBE-LHEP-UBELIX,ND,2,UNIBE-LHEP_DATADISK
157,2021-09-19,UNIGE-BAOBAB,1.0,,,,2.0,2.0,1.0,,0.0,UNIGE-BAOBAB,ND,2,UNIBE-LHEP_DATADISK
158,2021-09-19,UTA_SWT2_UCORE,419.0,,125.0,1074.0,,220.0,,,0.0,UTArlington,US,2,UTA_SWT2_DATADISK
159,2021-09-19,UTA_SWT2_UCORE_RET,1255.0,,,207.0,,318.0,,,0.0,UTArlington,US,2,SWT2_CPB_DATADISK
160,2021-09-19,Vega,8340.0,,118.0,233.0,4000.0,7790.0,,,0.0,Vega,ND,2,NDGF-T1_DATADISK
161,2021-09-19,Vega_MCORE,3090.0,,,,2330.0,4661.0,14.0,,0.0,Vega,ND,2,NDGF-T1_DATADISK
162,2021-09-19,Vega_largemem,30.0,1.0,7.0,,144.0,57.0,,,0.0,Vega,ND,2,NDGF-T1_DATADISK
163,2021-09-19,WEIZMANN,1051.0,,575.0,1923.0,1.0,761.0,,,0.0,WEIZMANN-LCG2,NL,2,TECHNION-HEP_DATADISK
164,2021-09-19,ZA-WITS-CORE,120.0,,,53.0,,117.0,,,0.0,ZA-WITS-CORE,NL,3,ZA-WITS-CORE_DATADISK
165,2021-09-19,pic,1390.0,,287.0,1284.0,1.0,204.0,1.0,,0.0,pic,ES,1,PIC_DATADISK
166,2021-09-19,pic_MareNostrum4,48.0,,96.0,,187.0,581.0,,,0.0,pic,ES,1,PIC_DATADISK
167,2021-09-19,praguelcg2,483.0,31.0,,460.0,1.0,177.0,,139.0,0.0,praguelcg2,DE,2,PRAGUELCG2_DATADISK
168,2021-09-19,praguelcg2_Barbora_MCORE,3.0,,,41.0,,,,,0.0,praguelcg2_IT4I,DE,2,PRAGUELCG2_DATADISK
